SWAS,Transformative Reading Scale,Mangen/Lüdtke/Jacobs,Italiano
felt,,,sentito
image,,,immagine
see,,,vedere
imagine,,,immaginare
,visualize,,visualizzare
,feel,,sentire
,sense,,percepire
,atmosphere,,atmosfera
,saw,,visto
,looking,,vedere
,picture,,immagine
,clear,,chiaro
,touch,,tocco
,hear,,ascolto
,listening,,ascoltare
,physical,,fisico
,vividly,,vividamente
,,sensorische ,sensoriale
,,Vorstellungsbilder,immagine_mentale
,,lebendig,vivido
,,bildhaft,pittoricamente
,,virtuelle,virtuale
,,einzutauchen,immergere
,,sehen,vedere
